type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_seasons
TV Show,Wu Assassins,"August 8, 2019",2019,TV-MA,"TV Action & Adventure, TV Sci-Fi & Fantasy",Netflix,1
TV Show,Basketball or Nothing,"August 2, 2019",2019,TV-PG,"Docuseries, Reality TV",Netflix,1
TV Show,Sleepless Society: Nyctophobia,"August 1, 2019",2019,TV-MA,"International TV Shows, TV Mysteries, TV Thrillers",Netflix,1
TV Show,Twelve Forever,"July 29, 2019",2019,TV-PG,Kids' TV,Netflix,1
TV Show,Another Life,"July 25, 2019",2019,TV-MA,"British TV Shows, International TV Shows, TV Action & Adventure",Netflix,1
TV Show,Sexy Central,"July 20, 2019",2019,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,1
TV Show,Typewriter,"July 19, 2019",2019,TV-MA,"International TV Shows, TV Horror, TV Mysteries",Netflix,1
TV Show,Rookie Historian Goo Hae-Ryung,"July 18, 2019",2019,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,Unrequited Love,"July 17, 2019",2019,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,1
TV Show,Angel Beats!,"July 15, 2019",2010,TV-PG,"Anime Series, International TV Shows",Netflix,1
TV Show,Anohana: The Flower We Saw That Day,"July 15, 2019",2011,TV-14,"Anime Series, International TV Shows, Teen TV Shows",Netflix,1
TV Show,God Eater,"July 15, 2019",2015,TV-14,"Anime Series, International TV Shows",Netflix,1
TV Show,GRANBLUE FANTASY the Animation,"July 15, 2019",2017,TV-PG,"Anime Series, International TV Shows",Netflix,1
TV Show,Extreme Engagement,"July 12, 2019",2019,TV-MA,"International TV Shows, Reality TV",Netflix,1
TV Show,One Spring Night,"July 12, 2019",2019,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,PILI Fantasy: War of Dragons,"July 12, 2019",2019,TV-14,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",Netflix,1
TV Show,True Tunes,"July 12, 2019",2019,TV-Y,Kids' TV,Netflix,1
TV Show,The Legend of White Snake,"July 5, 2019",2019,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,1
TV Show,The Last Czars,"July 3, 2019",2019,TV-MA,"Docuseries, TV Dramas",Netflix,1
TV Show,Bangkok Love Stories: Objects of Affection,"July 2, 2019",2019,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,1
TV Show,Bangkok Love Stories: Plead,"July 2, 2019",2019,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,1
TV Show,Designated Survivor: 60 Days,"July 2, 2019",2019,TV-14,"International TV Shows, Korean TV Shows, TV Dramas",Netflix,1
TV Show,DreamWorks Kung Fu Panda Awesome Secrets,"July 1, 2019",2008,TV-PG,"Kids' TV, TV Action & Adventure, TV Comedies",Netflix,1
TV Show,Molang,"July 1, 2019",2015,TV-Y,Kids' TV,Netflix,1
TV Show,Rabbids Invasion,"July 1, 2019",2018,TV-Y7,"Kids' TV, TV Comedies",Netflix,1
TV Show,Record of Grancrest War,"July 1, 2019",2018,TV-MA,"Anime Series, International TV Shows",Netflix,1
