type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_seasons
TV Show,Jungle Animal Rescue,"August 14, 2020",2019,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Nature Boom Time,"August 14, 2020",2016,TV-G,"Animals & Nature, Docuseries, Kids",DisneyPlus,1
TV Show,Sam's Zookeeper Challenge,"August 14, 2020",2018,TV-G,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Scuba Sam's World,"August 14, 2020",2018,TV-G,"Animals & Nature, Docuseries, Kids",DisneyPlus,1
TV Show,Spaced Out,"August 14, 2020",2018,TV-G,"Docuseries, Kids",DisneyPlus,1
TV Show,Weird But True!,"August 14, 2020",2017,TV-G,"Animals & Nature, Kids, Variety",DisneyPlus,3
TV Show,Wild Cats of India,"August 14, 2020",2020,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,UFO Europe: The Untold Stories,"August 7, 2020",2012,TV-PG,"Docuseries, Reality",DisneyPlus,1
TV Show,Animal Showdown,"July 31, 2020",2018,TV-G,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Best Job Ever,"July 31, 2020",2018,TV-G,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Destination World,"July 31, 2020",2018,TV-G,"Animals & Nature, Docuseries, Kids",DisneyPlus,1
TV Show,Fearless Adventures with Jack Randall,"July 31, 2020",2018,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,King Fishers,"July 31, 2020",2013,TV-PG,"Action-Adventure, Animals & Nature, Docuseries",DisneyPlus,1
TV Show,Marvel Funko Shorts,"July 31, 2020",2016,TV-Y7,"Action-Adventure, Animation, Anthology",DisneyPlus,2
TV Show,Muppets Now,"July 31, 2020",2020,TV-PG,"Comedy, Family, Lifestyle",DisneyPlus,1
TV Show,What Sam Sees,"July 31, 2020",2018,TV-G,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,PJ Masks (Shorts),"July 24, 2020",2017,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Rogue Trip,"July 24, 2020",2020,TV-PG,"Buddy, Docuseries",DisneyPlus,1
TV Show,Wild Congo,"July 24, 2020",2014,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Wild Sri Lanka,"July 24, 2020",2016,TV-PG,"Animals & Nature, Docuseries",DisneyPlus,1
TV Show,Disney Junior Music Lullabies,"July 17, 2020",2018,TV-Y,"Animation, Kids, Music",DisneyPlus,1
TV Show,Super Robot Monkey Team Hyperforce Go!,"July 17, 2020",2004,TV-Y7,"Action-Adventure, Animation, Anime",DisneyPlus,2
TV Show,Wild Chile,"July 17, 2020",2017,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Cosmos: A Spacetime Odyssey,"July 10, 2020",2013,TV-PG,"Action-Adventure, Docuseries, Family",DisneyPlus,1
TV Show,Animal ER,"July 3, 2020",2016,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,2
TV Show,Disney A.N.T. Farm,"June 26, 2020",2011,TV-G,"Comedy, Coming of Age, Music",DisneyPlus,3
TV Show,Into the Unknown: Making Frozen 2,"June 26, 2020",2020,TV-PG,"Docuseries, Family",DisneyPlus,1
TV Show,101 Dalmatians (Series),"June 19, 2020",1997,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Disney Junior Muppet Babies Play Date,"June 19, 2020",2018,TV-Y,"Comedy, Kids",DisneyPlus,1
TV Show,Mighty Med,"June 12, 2020",2013,TV-Y7,"Comedy, Coming of Age, Medical",DisneyPlus,2
TV Show,Alaska's Grizzly Gauntlet,"June 5, 2020",2018,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Howie Mandel's Animals Doing Things,"June 5, 2020",2017,TV-PG,"Animals & Nature, Comedy, Family",DisneyPlus,2
TV Show,Japan: Between Earth and Sky,"June 5, 2020",2017,TV-PG,"Animals & Nature, Docuseries",DisneyPlus,1
TV Show,Secrets of Wild India,"June 5, 2020",2012,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,The Greeks,"June 5, 2020",2016,TV-PG,"Docuseries, Historical",DisneyPlus,1
TV Show,Wild Hawaii,"June 5, 2020",2014,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,The Evermoor Chronicles,"May 29, 2020",2015,TV-PG,"Coming of Age, Fantasy, Mystery",DisneyPlus,2
TV Show,Doc McStuffins,"May 22, 2020",2011,TV-Y7,"Animation, Kids, Medical",DisneyPlus,5
TV Show,Marvel's Future Avengers,"May 22, 2020",2017,TV-Y7,"Action-Adventure, Animation, Anime",DisneyPlus,2
TV Show,The Big Fib,"May 22, 2020",2019,TV-PG,"Family, Game Show / Competition",DisneyPlus,1
TV Show,It's a Dog's Life with Bill Farmer,"May 15, 2020",2020,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Awesome Animals,"May 1, 2020",2017,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Birth of Europe,"May 1, 2020",2014,TV-G,Docuseries,DisneyPlus,1
TV Show,Buried Secrets Of The Bible With Albert Lin,"May 1, 2020",2019,TV-PG,"Action-Adventure, Docuseries, Historical",DisneyPlus,1
TV Show,Disney Prop Culture,"May 1, 2020",2020,TV-PG,Docuseries,DisneyPlus,1
TV Show,Lost Treasures Of Egypt,"May 1, 2020",2018,TV-PG,"Docuseries, Historical",DisneyPlus,1
TV Show,Love & Vets,"May 1, 2020",2017,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Prairie Dog Manor,"May 1, 2020",2019,TV-PG,"Animals & Nature, Docuseries, Reality",DisneyPlus,1
TV Show,United States Of Animals,"May 1, 2020",2015,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Unlikely Animal Friends,"May 1, 2020",2012,TV-G,"Animals & Nature, Docuseries, Family",DisneyPlus,3
TV Show,America's Funniest Home Videos,"April 24, 2020",1989,TV-PG,"Comedy, Family, Fantasy",DisneyPlus,9
TV Show,Tangled: The Series,"April 23, 2020",2016,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,3
TV Show,Brain Games,"April 17, 2020",2011,TV-G,"Docuseries, Family, Game Show / Competition",DisneyPlus,8
TV Show,Disney Mickey and the Roadster Racers - Chip 'N' Dale's Nutty Tales (Shorts),"April 17, 2020",2017,TV-Y,"Action-Adventure, Animation, Buddy",DisneyPlus,2
TV Show,Tron Uprising,"April 14, 2020",2011,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Disney Playtime with Puppy Dog Pals (Shorts),"April 10, 2020",2017,TV-Y,"Animation, Kids",DisneyPlus,2
TV Show,Paradise Islands,"April 10, 2020",2017,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Tut's Treasures: Hidden Secrets,"April 10, 2020",2018,TV-PG,"Docuseries, Historical",DisneyPlus,1
