type,title,date_added,release_year,rating,duration_seasons,listed_in,streaming_platform
TV Show,Hitler's Last Stand,"September 29, 2019",2018,TV-14,1,"Action, Adventure, Documentaries",Hulu
TV Show,Love & Hip Hop Hollywood,"September 29, 2019",2015,TV-14,4,"Black Stories, Music, Reality",Hulu
TV Show,Fresh off the Boat,"September 28, 2019",2015,TV-PG,6,"Comedy, Family, Sitcom",Hulu
TV Show,Single Parents,"September 26, 2019",2018,TV-PG,2,"Comedy, Sitcom",Hulu
TV Show,Empire,"September 25, 2019",2015,TV-14,6,"Black Stories, Drama, Music",Hulu
TV Show,Larrymania,"September 15, 2019",2012,TV-14,6,"Latino, Music, Reality",Hulu
TV Show,Elementary,"September 14, 2019",2012,TV-14,7,"Crime, Drama",Hulu
TV Show,"Dios, Inc.","September 13, 2019",2016,TV-MA,1,"Crime, Drama, International",Hulu
TV Show,Murder in the Bayou,"September 13, 2019",2019,TV-MA,1,Documentaries,Hulu
TV Show,Hijos Del Carnaval,"September 11, 2019",2008,TV-MA,2,"Drama, Latino",Hulu
TV Show,Activate: The Global Citizen Movement,"September 10, 2019",2019,TV-MA,1,Documentaries,Hulu
TV Show,Buried Secrets of WWII,"September 2, 2019",2019,TV-14,1,"Action, Adventure, Documentaries",Hulu
TV Show,Chuggington,"September 1, 2019",2010,TV-Y,5,Kids,Hulu
TV Show,GameFace,"August 30, 2019",2017,TV-MA,2,"Comedy, Drama, International",Hulu
TV Show,The Son,"August 29, 2019",2017,TV-14,2,"Drama, History",Hulu
TV Show,Designing Women,"August 26, 2019",1986,TV-PG,7,"Comedy, Sitcom",Hulu
TV Show,The Affair,"August 25, 2019",2014,TV-MA,5,Drama,Hulu
TV Show,Lethal Weapon,"August 24, 2019",2016,TV-14,3,"Action, Adventure, Black Stories",Hulu
TV Show,Shark Movers: Deadly Cargo,"August 17, 2019",2019,TV-PG,1,"Documentaries, Science & Technology",Hulu
TV Show,The Whale That Ate Jaws: Eyewitness Report,"August 14, 2019",2019,TV-14,1,"Documentaries, Science & Technology",Hulu
TV Show,BEM,"August 13, 2019",2019,TV-14,1,Anime,Hulu
TV Show,Great Shark Chow Down,"August 13, 2019",2019,TV-PG,1,"Documentaries, Science & Technology",Hulu
TV Show,Apollo: Back to the Moon,"August 7, 2019",2019,TV-PG,1,"Documentaries, History, News",Hulu
TV Show,Arifureta: From Commonplace to World's Strongest,"August 7, 2019",2019,TV-MA,1,Anime,Hulu
TV Show,Cop Craft,"August 7, 2019",2019,TV-MA,1,"Action, Anime, Science Fiction",Hulu
TV Show,Fosse/Verdon,"August 6, 2019",2019,TV-MA,1,Drama,Hulu
